Sentiment,Chloe,Tweet
0,-1,@Marcel126610 Irgendwie schon. Aber ...wer will ihn denn dann auch irgendwo rumsitzen haben...🤷‍♀️
0,1,@PewPeeew aight nichts leichter als das
-1,-1,"@LibertyHannes @RikeWaldfee @MarcoBuschmann Uhhhhh echt jetzt "" ich darf töten wenn ich will"" mimimi 😭 und was mit euren Blagen ist, ist mir doch egal. Puh was ich dazu sage #FDPmachtkrankundarm  und #FDPunter5Prozent . Ihr seit auf einen guten Weg . 😂 Ach #dielinke erholt sich gerade in den ersten Umfragen wider. 😂"
0,-1,"Unter #IhrHabtEuchSelbstAusgegrenzt meinte gerade ein Querdenker,  es sollte doch konsequenzlos möglich sein sich nicht impfen zu lassen.   Tja was soll ich sagen: Für Pfleger und Ärzte am Ende ihrer Kräfte war es auch nicht konsequenzlos, wenn Querdenker die Impfung verweigern."
0,0,"Und zur Sicherheit noch einmal: es geht hier um die Etikettierung, nicht das Testprodukt selbst. Kein Einfluss auf Ergebnis. https://t.co/Nne9nYSPgV"
1,1,"@MarcBrup @broennimann Welches Land findest Du inspirierend? (Ehrlich gemeinte Frage) Mich inspirieren Menschen, Natur, Musik, etc..aber ein ganzes Land?🤔 pS: ich bin sehr viel gereist, und könnte höchstens sagen, dass die unterschiedlichsten Menschen und Kulturen inspirierend waren. Die Vielfalt."
-1,-1,@besserossi @deprecatedCode @kotzlpotzl @drlisamaria Leichenfledderei! 😠
-1,-1,"Ihr wurdet nie ausgegrenzt, ihr habt euch separiert  Ihr habt auf die Solidargemeinschaft geschissen  Ihr habt euch von Rechtsextremisten unterstützen lassen  Ihr werdet in Geschichtsbüchern nicht als Opfer sondern als Täter stehen  #wirhabenausgegrenzt #SolidaritaetmitderWoelfin"
-1,-1,"Der Anwalt Chan-jo Jun hat Twitter verlassen. Ständig forderte er, dass wir mehr tun im Bereich Hasskriminalität u. bekam sehr viele Morddrohungen. Verstehe, dass er jetzt genug hat. Tragisch ist sein Rückzug hier für unsere Demokratie dennoch. Hoffe sehr, er kommt zurück."
0,0,Günstiges #Russland-#Gas ist das beste Mittel gegen Vermögensfraß beim Bürger. Stattdessen kommen #Gruene mit #Gasumlage und anderen #Grunen Plagen.
0,0,@kaktuskoeln @J_Todenhoefer Vielleicht kriege ich diese seltsamen Leute auch nur durcheinander.  Kann man sich ja nicht alle merken.
0,0,@moraimauy @ViktoriaGabor38 Welches Ort?Schreiben Sie bitte.
1,1,"@DerHeuwer Ich hatte Pommes Spezial Spezial. Mayo, Hollandaise und Rostzwiebeln. Ich bin sehr glücklich ☺️ https://t.co/Ukx5UUuk1q"
0,-1,"@BriHasselmann Es ist offenkundig, Sie sind zu alt um sich schnell einer neuen Situation zu stellen. #NIEwiederGruen"
-1,-1,Ich weiß nicht. Finde nur ich das massiv daneben? Ein Trump ist mit seinen sexistischen Äußerungen und seinem Anheizen einer Stimmung zur Stürmung des Capitols schon weit weg von Fritze. Oder geht es dem #ÖRR mit Absicht um eine gewisse Herstellung einer Nähe ?  #Framing https://t.co/wmqnyHUNdw
0,1,72. Minute: Wie aus dem Nichts der zweite Treffer für Bayern Alzenau. Torschütze ist Lukas Fecher. #FCBSGE I #sgeU21 I 2:1
0,1,meine neuen lieblingsbilder müsst ihr auch sehen https://t.co/Pb0wErPUQ5
0,0,@iseayuu Ramein
-1,-1,"Eine Ärztin ist tot. Bedroht und bedrängt von einem aggressivem Mob, der sich im Recht fühlt, von denen Menschen die Impfung als Tötung sehen, Schutzmaßnahmen als Diktatur usw.  Die von den zuständigen Behörden nicht ernst genommen wurde. Die Lehre: Die Aggressiven bekommen Recht"
0,-1,Ohne Kommentar! https://t.co/cxZiok8M3S
0,1,@VivienneAkuma Den Stil sehe ich zum ersten Mal und desto länger ich mir das anschaue desto besser wird es
0,0,@sativabebe420 *insert es heisst barça wenn überhaupt tweet*
0,0,@IHearYo43626235 @HerbstTim @DK43834838 @francalehfeldt @_FriedrichMerz @BMVg_Bundeswehr @welt Aha. Ok. Ich komme morgen mal vorbei.
