Sentiment,Tweet
0,@Marcel126610 Somehow yes. But...who wants it sitting around somewhere...🤷‍♀️
0,@PewPeeew aight nothing easier than that
-1,"@LibertyHannes @RikeWaldfee @MarcoBuschmann Uhhhhh really now ""I can kill if I want"" mimimi 😭 and I don't care what's up with your brats. Puh what I say to #FDPmachtsickundarm and #FDPunter5Percent. You are on the right track. 😂 Oh #dielinke is recovering in the first polls. 😂"
0,"Under #YourHaveYouselfExcluded, a lateral thinker said that it should be possible not to be vaccinated without any consequences. Well, what can I say: For nurses and doctors at the end of their strength, it was not without consequences when lateral thinkers refused to be vaccinated."
0,"And to be on the safe side again: this is about the labeling, not the test product itself. No influence on the result. https://t.co/Nne9nYSPgV"
1,"@MarcBrup @broennimann Which country do you find inspirational? (Honest question) I'm inspired by people, nature, music, etc.. but a whole country?🤔 PS: I've traveled a lot and could at most say that the most diverse people and cultures were inspiring. The diversity."
-1,@besserossi @deprecatedCode @kotzlpotzl @drlisamaria scavenging! 😠
-1,"You were never excluded, you separated. You gave a shit about the community of solidarity. You let right-wing extremists support you. You will not appear in history books as a victim but as a perpetrator #we have excluded #SolidaritaetmitderWoelfin"
-1,Lawyer Chan-jo Jun has left Twitter. He kept demanding that we do more on hate crime and received many death threats. Understand that he's had enough now. His withdrawal here is still tragic for our democracy. I really hope he comes back.
0,"Cheap #Russia #gas is the best remedy against the citizens' wealth being eaten up. Instead, #greens come with #gas surcharges and other #green plagues."
0,@kaktuskoeln @J_Todenhoefer Maybe I'm just confusing these strange people. You can't remember them all.
0,@moraimauy @ViktoriaGabor38 Which place? Write please.
1,"@DerHeuwer I had fries special special. Mayo, hollandaise and fried onions. I am very happy ☺️ https://t.co/Ukx5UUuk1q"
0,@BriHasselmann It is obvious that you are too old to face a new situation quickly. #NEVERagainGreen
-1,I do not know. Am I the only one who finds that massively wrong? A Trump is already a long way from Fritze with his sexist statements and his stirring up a mood to storm the Capitol. Or is the #ÖRR intentionally about creating a certain closeness? #Framing https://t.co/wmqnyHUNdw
0,72 minutes: The second goal for Bayern Alzenau out of nowhere. Goal scorer is Lukas Fecher. #FCBSGE I #sgeU21 I 2:1
0,You must also see my new favorite pictures https://t.co/Pb0wErPUQ5
0,@iseayuu Ramein
-1,"A doctor is dead. Threatened and harassed by an aggressive mob who feels they are in the right, people see vaccination as killing, protective measures as dictatorship, etc., which was not taken seriously by the responsible authorities. Lesson learned: The aggressive get it right"
0,Without comment! https://t.co/cxZiok8M3S
0,@VivienneAkuma This is my first time seeing the style and the more I look at it the better it gets
0,@sativabebe420 *insert it means barça if any tweet*
0,@IHearYo43626235 @HerbstTim @DK43834838 @francalehfeldt @_FriedrichMerz @BMVg_Bundeswehr @welt Aha. OK. I'll come over tomorrow.
-1,"Vaccination opponents are a global threat. This is not a new finding, the WHO officially declared it in January 2019. But anyone who still thinks in the third year of the pandemic that the solution is 'personal responsibility' has no idea about health or responsibility."
0,@groehler79 @sportschau But not the times!
0,"Mona-Lisa: Disappointments are part of life, but when they become part of everyday life, you should change something. https://t.co/jTKAT4U8Bm"
0,@Ryouta7_ Degeulzsse
0,"""Because of the high inflation, the Germans have hardly any money left to save."" - Of course, the highest tax and duty burden in the world doesn't matter :-) https://t.co/kyNrGqRtyf"
0,"""I didn't do anything,"" whimpers a young German who is currently negotiating his everyday life together. https://t.co/JPZgp3MmrF"
0,"@lino Nope, not if no one objects."
0,@Raafey17 Rein da
0,@Alkolik Yorumlar #Probably Trabzon 1 SİVASSPOR 3
0,@n3ll41 Great respect for your skills. How do you ensure that those who ask you are actually specified and how that real names etc. are used for criminal charges and not otherwise?
-1,Soldiers of the #Bundesheers picked up 10 migrants at 7 a.m. today in the Deutschkreutz area. 1 migrant from Afghanistan hit a soldier in the face with his fist. She was taken to the hospital; the perpetrator caught and reported.
0,@JohnG_123 @patrickder_sozi Sweden.
-1,"@stephanweil @Markus_Soeder Well done, Mr. Weil! Söder is not only a crude, insatiable populist, he also has something parasitic about him."
-1,"@ErekFN @neylufnbr what are you talking about, what kind of cut do you have now"
-1,@LLZamecki If oh boasted about fake school records and made-up diplomas....I'd be ashamed. But this lady is running around grinning and thinking to herself...the idiots really love me!
0,@popupanna Seeds for turnip greens Puttes for black pudding Och härrm! for oh you! Dubble Merssi for thank you very much
0,"The bikes are packed, the batteries are charged, the sun is coming out. The micro-adventure camping for one night on the Ruhr can begin. Thanks to @lichtlauschen and https://t.co/M3gBpn77AZ for the rescue 😊 https://t.co/wcxuEDebpP"
0,@ linlinJT23 I would eat
-1,@MarcoBuschmann #CovidIsNotOver and you have already caused more than enough avoidable suffering with the current #IfSG! You and @Karl_Lauterbach @spdbt @GrueneBundestag @fdpbt finally ensure an adequate #IfSG! #Masks are now mandatory indoors including schools + #right to home office!
0,@Bramfelder_Jung You are so right
0,@illyrenjunn RT GES RAMEINNNNN
0,RKGK~ #eimiko https://t.co/yPlSkPFLb5
0,@Lam3th Somehow I have to think of liverwurst now. No idea why 🤔
0,"@illBlissGoretti Oga Boss, uncle Ike chukwu"
0,@sizinamklan so I always say I gamble with feelings
0,miss
0,"Someone has to say: Most of the ""death threats"" blaring about the left on Twitter are fictitious. If they were real or even believable, they would take them to the police. ""Death threats"" are to leftists what the Porsche is to mid-life crises."
0,@nitaniti84 That's what it looks like. Don't worry about it. You have to ignore such idiots.
0,"With Takero Itoi, now the 2 Japanese, in paradise. After Naoya Kikuchi, who appeared in 19 league games from 2007-2009 for FC Carl zeiss Jena... #FCCWOB #DFBPokal #FCCVfLW"
0,69. Marchesano only hits the post with his left-footed shot - top chance to score again! *2:0 | #SGFCZ #fcz #stadtclub #NieUsenandGah
0,now helene from pennsylvania #PopAroundTheClock
0,@XSchwester I know how you feel. Also what it's like when you just have fun on a trip or similar. and shortly afterwards the pain catches up with you. I hope that you can still enjoy the time a bit. 🫂
0,#PlaneAlert ICAO: #3E1207 Tail: #DHYAH Flt: #CHX77 #Squawk: #0020 Aircraft:  2022/07/30 19:32:13  https://t.co/zk1UigRIJ2 https://t.co/SZ7h11QAxu
0,"He's a 10, no matter what you say ❤ https://t.co/M3qWmKiaoE"
0,namjoon in swiss vlog ♡ https://t.co/LxKVdmnwum
0,Read The Pakistan News ▸ today's top stories thanks to @ntvde @tagesschau @VanDerHeadcloth #lisamariakellermayr #austria https://t.co/7jRlCsfJbd
0,IG fluke_natouch : 👐🏻 🔗 : https://t.co/wzZdsGN4k2 #cheek #fluke_natouch https://t.co/yALWienKi3
0,"@UbermenschKNAX @ToastBrot42069 @FuchsHatKnax @zoe_tsk @placeb0325 @Jxzzmxn @Vin0_Nin0 @kbmzuleben @slimcigwh0re @_der_eric @sadboytxm @yuriabla @xini_23 @freezygoet @MawuMoody @ZuVielAlkk @ProblemMensch @HlfpLeon @franschiliebd @alow_kiliebd @aluex_you have more followers than you! not even of age, insulted like a small child and gets horny with followers, that's a strong personality. He's going to be a really big warehouse helper or something."
0,Party politics aside. #Baerbock showed attitude in #Turkey.
0,The journey 78959 of the RE 72 line in the direction of Memmingen is delayed by 6 minutes.
0,"@peachy_frogss you're going to laugh at me now but what is ""bang""? xD"
0,I like liquorice too I'm weird now👀 https://t.co/L4HZOdSm0h
0,@Lam3th What do you have for a mocha machine? I am looking for.
0,@axelinorr @FlickzyV2 @neylufnbr Unfortunately I can't voucher that
0,Only like this... https://t.co/rrGg5WTSP3
0,Good morning! Do you remember when @janoschdahmen failed with his inhuman - but fortunately completely bungled - vaccination requirement? That was nice 🥲 #wirhabenausgemündt #IchHabeMitmachen https://t.co/NFTuiPyZFJ
0,@MaxKapital @Renard67778593 @Karl_Lauterbach 😘 Say it to my face
0,@sysl0gic @RobertBoni6 Look at the Fascho-Klappspaten calling others Nazis.🤣
-1,Every state minister is more than offended when clever advice on their technical challenges and decisions is hailed from Berlin. But of course everyone has an opinion on foreign policy that can be trumpeted to the outside world without internal controversy. Clear.
0,@JSchmitzLeipzig Where is his?
0,@GunMcGillough Will you eat for me? Please 🥺 roommates and K1 eat alone. By the time it's my turn everything is cold 😔
1,"@franklin1206 Thank you, for you too 💚"
0,Kickers Offenbach - Fortuna Dusseldorf 1:3 71st minute: Goal for Fortuna Dusseldorf by Daniel Ginczek
0,Tag Podu Tag Podu 💃🕺🥁 Tag - #ThiruchitrambalamAudioLaunch #Thiruchitrambalam #Vaathi @dhanushkraja https://t.co/ClgK43A6sC
0,Bought a book because it was on permanent loan from the library and I needed it urgently. Realized now that I'm the person who borrowed it.
0,Your RB Leipzig #Supercup2022 XI! 📋 🔴⚪ #WeAreLeipzig #RBLFCB https://t.co/Pi0jVX6Gk7
0,NAMJOON VLOG 🤝 IG POST https://t.co/a0Y18MKJTY
-1,"@SHomburg I still can't take the Tagesspiegel seriously. For example, in the article they frame the effects of the Fukushima tsunami as a reactor accident. That is simply a lie. It was the result of an earthquake."
0,@SenorOruga Not for long
0,"Separate in color Together in cause For life There is no rivalry!! I wish everything goes well. And completely healthy again, you can kick again https://t.co/IITVg0pY5j"
0,@trtspor Let it go with colors 3.1 weghorst 😂
0,official announcement... https://t.co/GoIHsDmLd0
0,Nuclear turnaround is not progressing - the five most embarrassing excuses of the Greens https://t.co/qThkDvgTLB
0,"Foreign Minister @ABaerbock and the federal government have to make a decision: either stand up for human rights, or recognize the Libyan rescue zone - and thus a systematic breach of international law by the so-called Libyan Coast Guard on behalf of the EU. https://t.co/6U2s6nbUrO"
0,@StrwbrryPancake What are you doing???
0,@BennoKlaudinger @rendiwagner @SPOE_at That's nonsense!
1,"In a way that is unique in human history, the vast majority first contained a virus and then averted the danger through solidarity vaccinations. As a result, hundreds of thousands of lives were saved in Germany alone and we can be proud of that."
0,@YuriNoirProduc1 @die_Erhabene @Whereismymodel3 @ZGIDeutschland I'm always interested in new studies. So bring it on. 😁🤣 PS. But it's nice to take your time.
0,"Russia has launched a new promotional film for itself “This is Russia”, highlights: Cheap Gasoline Cheap Electricity &amp; Water No Cancel Culture An Economy Resisting Thousands of Sanctions Time to Move to Russia Don't hesitate, winter is coming 🤣 https: //t.co/UvUNQxjtjG"
0,@LeScholzo you don't even know what a fascist is.... 😄🙈
0,billie eilish. https://t.co/dBNDDc81Cx
0,@ganissatanica @kelingkingtempe Support
0,@chocookoo @cybfess Dhlh
0,@Karl_Lauterbach @MarcoBuschmann seriously for this dream dance of a pubescent FDP. 2
-1,@kunbrate1 Too bad the transfer didn't work.
0,"@MrJonasDanner October 13, 2021 officially joined. Anyone who believes in coincidences, in connection with the Corona timing and the marketing war, can no longer be helped."
0,Interested in the DFB? - Your opinion is important to us. #DFB
0,Experts in #lungcancer discuss IO patient cases. @drgandara @DrRoyHerbstYale @marinagarassino @ErminiaMassare1 @HosseinBorghaei. Dr. Barbara Melosky. Dr. Daniel Morgensztern @gotoPER #ILCC @IASLC https://t.co/b5MPPYaNXJ
0,@VascodaGama shout shout
0,"For classification. We searched FB for pictures of Der Stürmer a few days ago. In the right-wing extremist Schwurbler groups and on profiles, a picture is shared thousands of times. At the moment we have 245 legally secured and displayed. Because of re-activation."
0,"""A child was bitten by a dog in the southern part of Anklam. The police are investigating and are now looking for the dog and its owner."" https://t.co/lP1WjO7fTq"
-1,It's frightening - how many people don't know about different #Covid variants - think they're immune after an infection or the immune system is stronger - say if I get infected then it's just that The responsibility towards others is completely irrelevant
-1,"When I see mainstream media online, or TV, sometimes I think a blackout wouldn't be the worst thing."
-1,"@MichaelBonvalot ""Hundreds of thousands of vaccine deaths and millions of vaccine injuries"". Yes, always the same Schas. 🤦‍♂️Where are they? How are they hidden? How exactly are the relatives bribed, suppressed or prevented from accusing this?"
0,@welt Listening and above all understanding is not the strength of @Die_Gruenen politicians!
-1,"I have to write that again now because it has been lost: people with a ""MAP flag"" walked around at the Cologne CSD. MAP means ""Minor Attracted People"". These are pedophiles."
0,@KriegerKt What is the focus of your activity as a #career changer?
0,"@stohr_klaus @Karl_Lauterbach Please don't insult my spelling memory. Commas and periods are part of it. You want to be a role model? Stöhr, says Lauterbach, is stupid. Stöhr says Lauterbach is stupid. Got it? Was free at first."
0,. @Karl_Lauterbach How will you deal with the rising energy costs for hospitals and possibly the lack of energy sources (gas) in autumn/winter? We hear you keep spending money on vaccines. (Feel free to retweet to increase reach) @Tim_Roehn
0,"Guest:""How do you get the beans like that..."" Waitress:""Butter"" G:""Yes, I'll put them in too, but how are they..."" K:""A lot of butter..."" G:"" No, well, we always add 1 piece of butter to it, but..."" Instead of the K, I would have said something like ""coriander"" 😬"
0,Essexville-Hampton Public Schools Hires New Superintendent https://t.co/DK95rXzpqY
0,Oh the wind turns and blows from the east. Every North German knows that the east wind is hard and cold. He blasts against Lauterbach and against the facility-related compulsory vaccination.
0,How about the SPD aligning itself more with the Danish and Swedish Social Democrats in migration and asylum policy?
0,Essexville-Hampton Public Schools Hires New Superintendent https://t.co/1ylksIt3Dc
0,#Garden Content : my old rose bush creates these different flower colors. @heikerichta did we talk about it? It is now blooming for the second time this year. https://t.co/so7TfvTCKG
0,@consertum SangSussi 😏 again
-1,"@CCcaprisonne Well, as long as they're all good. Otherwise there will be a lot of trouble from enough people who care about you 😘"
0,"@ThomasWalach @YveBiskupska Ah go, there's still room for improvement."
0,@Vorzimmerdame2 The cancellation of continued wage payments has forced many of us to take a shot.
0,"@LichtRonny To be honest, a lot more went wrong than just that. It's not that far from me and I've been there several times to help. What I was told... Under all guns. As I said... KATWARN and NINA must have reported something. But no one really has for... ⏩"
-1,Something's brewing out there. I am very worried about this country and about what is to come in the near future. The spokesmen of the right and the loud ones among them are currently igniting very strongly - and they do it until it burns.
-1,"“I'm slowly losing my temper with German intellectuals who consider themselves world champions in pacifism. Ukrainians are almost responsible for the war because they are fighting back. And anyone who wants to help is insulted as a warmonger.."" me 👇🏽 https://t.co/pfy8r5wSZq"
0,@jgaedertz @polizeiberlin For a Dr. I would have expected a little more spirit.
0,"We're looking forward to the final! 😍 Tomorrow the @DFB_Frauen meet England. Before the tournament started, we spoke to national coach Martina Voss-Tecklenburg. You can read the interview again here: https://t.co/qE0LngzbuJ #hungriGER https://t.co/mBa5hkrsyh"
-1,@herr Crisis What kind of shit are you doing 😊
-1,@Sunnyflower_fun @EpiloQX Can't hear it anymore. Blocked it now. That struck me as odd a few times. Don't tolerate anything anymore.
-1,Unbelievable! 🤬 https://t.co/hhe2uUT9kX
0,"Why is this necessary? #I participated #I excluded. Because: A functioning press does not exist. Citizens take over the job of journalists and get to work on the excesses of the pandemic. And the press? outraged. About the action, not the quotes."
1,"I'm just speechless... can't thank you for how awesome this stream was!!!! Many, many thanks to everyone who was there 🧡🧡🧡 #TwitchDE #TwitchStreamers #twitch #hype #thanks #TwitchAffilate https://t.co/g4RQer1Qz8"
0,rkgk 452 https://t.co/TCmzZ2VUMa
0,I'm not leaving
0,PUHHHLEEAAASSEEEE😭 https://t.co/bHhOqWkDEi
1,@Palaeos1 not at all! ❤️ mean all the lateral thinker assholes. I always like to see you in my TL and in my notifications 😄
0,@ImaFamiTest @msc1979 @guder_ben @J_Todenhoefer because I'm not German Fascho https://t.co/61JRsYvCRb
0,The buzzers are available in our shop: https://t.co/4a5GMy822H https://t.co/i7gSj2OonQ
0,"In #Odessa, people have been waiting since yesterday for the ships loaded with grain to finally set sail. Anne Brühl reports from on site how people deal with it. ""The situation here in Odessa is quite tense overall."" https://t.co/nKhbZWVHSa"
0,Nobody: German Marketing Department: https://t.co/0NyCeU75i9
0,Small beach in Mondstadt!☀🏖🌲 https://t.co/JULoJUuymi
0,@litemgear And he doesn't carry anything useless either 😳 https://t.co/SH8SbFq2c9
0,[VIDEO] 220830 Chungha al Mik Festival #청하 #CHUNGHA @CHUNGHA_MNHent https://t.co/I5G58XPqP0
0,Ftd! Actor Nine is back 👮‍♂️🤩😍😭https://t.co/Fs2H6DL13i
0,@Route_60plus Jimmy Hoffa
1,Trans-Visibility and such :D Went to my first two Pride events this year and it was wonderful. Today is actually Pride in Stuttgart and Trans-Pride in Berlin yay 💚 just can't go to both.. too far away.
0,OK seems to only affect the YT stream. It fits on Twitch.
1,@ AutZeit I think it's beautiful
0,"Angelino is absent from RB Leipzig's squad to face Bayern Munich tonight due to transfer talks.  Hoffenheim is, and will remain an option for him. The market offers him some alternatives to Leipzig. [@philipphinze24]  #TheGoalpostNews #RBL #TSG #RBLeipzig #Leipzig #Transfers https://t.co/ybQkP3e1T1"
0,n pfe be
0,"@BinKeinEmo strong, try to pull it off this time"
0,Paralyzing horror on the Waldemar Klein grandstand 😅 #OFCF95
0,"The Weser Stadium @werderbremen has a PV system that consists of a total of 200,000 solar cells and generates up to 1 million kWh of electricity per year. This means that around 300 households can be supplied with electricity from the electricity production. This corresponds to a saving of around 400t CO2 per year https://t.co/k09Msn30o3"
0,@SawsanChebli @ghmaxi0 You can literally smell your fear. #AfD works. Good this way.
0,Economy: Why a short recession makes sense + is good ONLY THIS IS THE WAY NEW POWERS ARE FREE and the old ballast is thrown off https://t.co/VtCL6Xo97w via @manager_magazin
0,Sila Seher is irreplaceble  #CancelDiziEmanet3
0,@DonBarbone Yes exactly. It worked great. 3d printer is of course even better
0,"@JDBisc @gerhard_mangott If you don't follow the constantly changing legislation of the Rada, then of course you don't know a lot. As a seasoned Szelensky Apopget, I would not address the story of the Nazi tattoos - the topic is for Ukr. Army just embarrassing"
0,"@wizard_strange Yes, but we had them anyway. Now we get the money of the second round"
0,@Karl_Lauterbach @KSTA Don't get annoyed
0,"@Karl_Lauterbach Are there any independent sources. Studies, investigations? Collect and evaluate data! Why isn't this done properly and communicated?"
1,@Luuk_Kru Oh come on. I help 🤝
0,@fortovvv @Rytmic001 @Mevvez nociarz
0,"@a_nnaschneider The ÖRR is committed to balance in order to create a plurality of opinions. In this respect, independent, objective and non-partisan reporting is always required. The information conveyed must be up-to-date, sustainable, secured and credible.(§ 10) #WDR"
0,@Karl_Lauterbach The state of the nation… https://t.co/yJUTzXWfDJ
0,@ein_fachnurtim @Jona223_ I think so too! òwó
1,"Good morning, today is International #FriendshipDay! How about celebrating this day with your friends with a film from the @filmfriendVOD collection about #friendship? All movies are free with library card! 🫂 https://t.co/nXeGwII5HU https://t.co/ijYrL8iXRr"
0,@stockmum @BjBe2000 You have to with Protestants and Catholics too.
-1,"@erna_unplugged I feel a lot. With ALL. You only get shown (often snotty) what you're doing wrong. I'm now muting a lot of terms and accounts because it's different. I can be endured. Also learned, the hard way, that I follow new people as quickly."
0,Finished in Regensburg. We are eliminated from the DFB Cup. ___ 🤸‍♂️ 6:5 🐐 (120th) #SSVKOE #effzeh https://t.co/AHcYlVtGUp
0,"@KaWillms Since we cannot view your customer account here on social media for data protection reasons, we unfortunately cannot tell you anything about the current processing status of your request. -Angi"
-1,"⚠️MAXIMUM SHARING⚠️ Until now it was #Putin troll propaganda - now ""#WELT"" admits that Ukrainians are shooting from civilian buildings such as schools. With this, Ukrainians are turning civilian facilities into military targets, which is a war crime. https://t.co/aXZNI6SDcF"
0,@prv_simon doesn't feel it at all and several colleagues have already tried it but it didn't help
0,"@jurisdictio84 Will he come back, the @MitterlehnerR ? 😃"
0,Surrender to the fascination of the moment https://t.co/zzaAeugzCx
0,Wouldn't that also be something for innsbruck @ThomasMuellerAT https://t.co/jFjdotebHQ
0,__#Competition - Win an #Xbox Mini Fridge!🥶❄️ 1.) Follow @xboxdynasty on Twitter☑️ 2.) Like and RT this tweet💙🔁 3.) Reply and @tag a friend👀 ⚠️Other chances of winning + terms and conditions: https://t.co/KDwvQSwS4H #XboxMiniFridge #Giveaway https://t.co/5h324cwVsi
0,"As an example, the Green politician named the Fuchs transport vehicle, the Marder armored personnel carrier and air defense systems to protect cities"
0,@MjooTheGambian 😬 by mistake
0,How satisfied are you with the traffic light's drug policy so far?
0,"The Lend-Lease program would allow Washington to ""lend or lease"" weapons and military equipment to #Taiwan on a large scale, without red tape and then paying off later...in this case, over a 12-year period . (14/20) https://t.co/Ea3qXVyPnO"
0,@friedhelm_mosel Let it go on like this. Getting rid of a few orcs every day takes away sorrow and worry
0,@Baki_Hanma_123 Oh my god
0,Can't share it enough!!! https://t.co/dOzorPUM2t
